college_name,location,best_suit_for,fees,placement,type
Government College of Engineering and Technology - [GCET],"Jammu, Jammu and Kashmir",BE/B.Tech,"₹ 42,920",,Government
Central Institute of Temperate Horticultural - [CITH],"Srinagar, Jammu and Kashmir",M.Phil/Ph.D in Arts,,,Government
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir - [SKUAST],"Srinagar, Jammu and Kashmir",M.F.Sc,"₹ 30,600",,Government
University of Kashmir - [KU],"Srinagar, Jammu and Kashmir",MA,"₹ 9,998",,Government
Government Degree College,"Srinagar, Jammu and Kashmir",BA,,,Government
SSM College of Engineering and Technology - [SSM],"Baramulla, Jammu and Kashmir",BE/B.Tech,"₹ 49,000",,Private
Cluster University of Jammu,"Jammu, Jammu and Kashmir",M.Sc,"₹ 47,230",,Government
Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu - [SKUAST-J],"Jammu, Jammu and Kashmir",B.Sc (Agriculture),"₹ 26,900",,Government
Government College for Women - [GCW],"Jammu, Jammu and Kashmir",BA,"₹ 28,560",,Government
"Directorate of Distance Education, University of Jammu","Jammu, Jammu and Kashmir",MA,"₹ 10,690","₹ 5,60,000",Government
Baldev Institute of Management Technology and Sciences - [BIMTAS],"Jammu, Jammu and Kashmir",BCA,,,Private
Central University of Kashmir,"Srinagar, Jammu and Kashmir",MA,"₹ 12,440",,Government
MBS College of Engineering and Technology,"Jammu, Jammu and Kashmir",BE/B.Tech,"₹ 49,000",,Private
Amar Singh Government Degree College,"Srinagar, Jammu and Kashmir",BA,,,Government
Bhartiya College of Education,"Udhampur, Jammu and Kashmir",B.Ed,"₹ 40,000",,Private
Government Degree College,"Jammu, Jammu and Kashmir",BA,"₹ 7,290",,Government
Government Degree College for Boys,"Anantnag, Jammu and Kashmir",BA,,,Government
Government Degree College for Boys,"Udhampur, Jammu and Kashmir",B.Sc,"₹ 21,960",,Government
Government Degree College for Women,"Anantnag, Jammu and Kashmir",BA,"₹ 2,530",,Government
Government MAM College,"Jammu, Jammu and Kashmir",BCA,"₹ 14,068",,Government
Jamia Tul Banat Saifni,"Srinagar, Jammu and Kashmir",BA,"₹ 43,000",,Private
Swami Vishwatamanand Saraswati Degree College,"Rajauri, Jammu and Kashmir",BA,,,Private
Government Degree College,"Doda, Jammu and Kashmir",BA,,,Government
Jammu Institute of Ayurveda and Research College - [JIAR],"Jammu, Jammu and Kashmir",BAMS,"₹ 3,54,665",,Private
Government Dental College,"Srinagar, Jammu and Kashmir",BDS,,,Government
Institute of Dental Sciences - [IDS],"Jammu, Jammu and Kashmir",BDS,"₹ 3,45,000",,Private
Institute of Hotel Management Catering Technology and Applied Nutrition,"Srinagar, Jammu and Kashmir",BHM,"₹ 1,06,900",,Government
Ashoka Law College,"Kathua, Jammu and Kashmir",BA/BBA LLB,,,Private
Bhargava Law College,"Jammu, Jammu and Kashmir",BA/BBA LLB,,,Private
Dogra Law College,"Jammu, Jammu and Kashmir",BA/BBA LLB,"₹ 40,353",,Private
KC Law College,"Jammu, Jammu and Kashmir",BA/BBA LLB,,,Private
Kashmir Law College,"Srinagar, Jammu and Kashmir",BA/BBA LLB,"₹ 1,05,000",,Private
Bhargava Paramedical College,"Jammu, Jammu and Kashmir",GNM,,,Private
Acharya Shri Chander College of Medical Sciences,"Jammu, Jammu and Kashmir",MBBS,"₹ 39,000",,Private
Government Medical College - [GMC],"Jammu, Jammu and Kashmir",MBBS,"₹ 26,250",,Government
Acharya Shri Chander Institute of Nursing Education,"Jammu, Jammu and Kashmir",GNM,"₹ 51,000",,Private
IIT Kanpur - Indian Institute of Technology - [IITK],"Kanpur, Uttar Pradesh",BE/B.Tech,"₹ 2,53,120","₹ 24,00,000",Government
IIML - Indian Institute of Management,"Lucknow, Uttar Pradesh",MBA/PGDM,"₹ 11,15,000","₹ 75,00,000",Government
National Council For Hotel Management and Catering Technology,"Noida, Uttar Pradesh",BHM,"₹ 1,25,915",,Government
IIT BHU - Indian Institute of Technology,"Varanasi, Uttar Pradesh",BE/B.Tech,"₹ 2,18,815","₹ 1,68,00,000",Government
Aligarh Muslim University - [AMU],"Aligarh, Uttar Pradesh",BA,"₹ 13,680","₹ 14,00,000",Government
MNNIT Allahabad - Motilal Nehru National Institute of Technology,"Allahabad, Uttar Pradesh",BE/B.Tech,"₹ 1,68,000","₹ 72,00,000",Government
Amity School of Hospitality,"Noida, Uttar Pradesh",M.Phil/Ph.D in Hotel Management,"₹ 1,70,000","₹ 6,00,000",Private
Indian Institute of Information Technology - [IIIT],"Allahabad, Uttar Pradesh",ME/M.Tech,"₹ 2,12,610","₹ 1,21,00,000",Government
Institute of Medical Sciences - [IMS BHU],"Varanasi, Uttar Pradesh",MBBS,"₹ 1,49,000",,Government
Indian Institute of Information Technology - [IIITL],"Lucknow, Uttar Pradesh",BE/B.Tech,"₹ 2,69,700","₹ 1,45,00,000",Government
Lloyd Law College,"Greater Noida, Uttar Pradesh",BA/BBA LLB,"₹ 9,00,000",,Private
IMT - Institute of Management Technology,"Ghaziabad, Uttar Pradesh",PG Diploma in Management,"₹ 30,42,976","₹ 41,55,000",Private
King George's Medical University - [KGMU],"Lucknow, Uttar Pradesh",MBBS,"₹ 41,600",,Government
Amity School of Architecture and Planning,"Noida, Uttar Pradesh",B.Arch,"₹ 2,79,000","₹ 17,00,000",Private
All India Institute Of Medical Sciences - [AIIMS],"Gorakhpur, Uttar Pradesh",MBBS,"₹ 5,293",,Government
"Department of Management Sciences, IIT Kanpur- [DOMS IITKP]","Kanpur, Uttar Pradesh",Executive MBA,"₹ 13,50,000","₹ 24,00,000",Government
All India Institute of Medical Sciences - [AIIMS],"Rae Bareli, Uttar Pradesh",MBBS,"₹ 1,628",,Government
Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM],"Meerut, Uttar Pradesh",BHM,"₹ 95,000","₹ 4,20,000",Government
Dr. Ram Manohar Lohia Institute of Medical Sciences - [RMLIMS],"Lucknow, Uttar Pradesh",MBBS,"₹ 49,700",,Government
Birla Institute of Management Technology - [BIMTECH],"Greater Noida, Uttar Pradesh",MBA/PGDM,"₹ 14,00,000","₹ 24,43,000",Private
Banaras Hindu University - [BHU],"Varanasi, Uttar Pradesh",BA,"₹ 2,300","₹ 1,20,00,000",Government
Sanjay Gandhi Postgraduate Institute of Medical Sciences - [SGPGIMS],"Lucknow, Uttar Pradesh",Bachelor of Physiotherapy(BPT),"₹ 43,250",,Government
Rajiv Gandhi Institute of Petroleum Technology - [RGIPT],"Amethi, Uttar Pradesh",BE/B.Tech,"₹ 2,56,000","₹ 24,00,000",Government
Jawahar Lal Nehru Medical College - [JNMC],"Aligarh, Uttar Pradesh",MBBS,"₹ 2,39,200",,Government
Amity Business School - [ABS],"Noida, Uttar Pradesh",MBA/PGDM,"₹ 6,90,000","₹ 26,30,000",Private
"Institute of Management Studies, Banaras Hindu University","Varanasi, Uttar Pradesh",MBA/PGDM,"₹ 70,000","₹ 23,50,000",Government
IMS,"Ghaziabad, Uttar Pradesh",MBA/PGDM,"₹ 5,00,000","₹ 35,00,000",Private
Zakir Hussain College of Engineering and Technology - [ZHCET],"Aligarh, Uttar Pradesh",BE/B.Tech,"₹ 18,990",,Government
Jaypee Institute of Information Technology University - [JIIT],"Noida, Uttar Pradesh",BE/B.Tech,"₹ 4,06,000","₹ 62,00,000",Private
Dayalbagh Educational Institute - [DEI],"Agra, Uttar Pradesh",BA,"₹ 5,150",,Government
Amity School of Engineering & Technology - [ASET],"Noida, Uttar Pradesh",BE/B.Tech,"₹ 2,06,500","₹ 35,90,000",Private
GSVM Medical College,"Kanpur, Uttar Pradesh",MBBS,"₹ 39,600",,Government
Government Institute of Medical Sciences - [GIMS],"Greater Noida, Uttar Pradesh",MBBS,"₹ 1,51,100",,Government
Sarojini Naidu Medical College - [SNMC],"Agra, Uttar Pradesh",MBBS,"₹ 36,000",,Government
LLRM Medical College,"Meerut, Uttar Pradesh",MBBS,"₹ 43,000",,Government
UEI Global,"Lucknow, Uttar Pradesh",BHM,"₹ 3,00,000","₹ 24,00,000",Private
"Sharda University, School of Medical Sciences and Research - [SMSR]","Greater Noida, Uttar Pradesh",MBBS,"₹ 12,69,319","₹ 1,00,00,000",Private
Jaipuria Institute of Management,"Lucknow, Uttar Pradesh",MBA/PGDM,"₹ 7,55,000","₹ 36,64,000",Private
Ajay Kumar Garg Engineering College - [AKGEC],"Ghaziabad, Uttar Pradesh",BE/B.Tech,"₹ 1,42,156","₹ 33,80,000",Private
Moti Lal Nehru Medical College - [MLNMC],"Allahabad, Uttar Pradesh",MBBS,"₹ 1,35,000",,Government
Madan Mohan Malaviya University of Technology - [MMMUT],"Gorakhpur, Uttar Pradesh",BE/B.Tech,"₹ 2,75,200","₹ 52,00,000",Government
Jaipuria Institute of Management,"Noida, Uttar Pradesh",MBA/PGDM,"₹ 1,40,000","₹ 36,60,000",Private
Teerthanker Mahaveer Medical College and Research Center,"Moradabad, Uttar Pradesh",MBBS,"₹ 20,00,000",,Private
Galgotias College of Engineering and Technology - [GCET],"Greater Noida, Uttar Pradesh",BE/B.Tech,"₹ 1,15,603","₹ 39,00,000",Private
